"","mu_col[, 1]"
"509",2.76898990017607
"510",2.78614044483884
"511",2.76557355076008
"512",2.79862174536364
"513",2.76117927767231
"514",2.74981358969898
"515",2.79035528809089
"516",2.76216348785996
"517",2.73626293371315
"518",2.80134933060157
"519",2.77529791166983
"520",2.79002000613201
"521",2.80249534851371
"522",2.74672474320937
"523",2.76367573910864
"524",2.78279795046866
"525",2.75385342566459
"526",2.76855117014171
"527",2.85067401292978
"528",2.7294985922554
"529",2.79017515194778
"530",2.83075430042178
"531",2.77693839541435
"532",2.78743641393555
"533",2.79096073740086
"534",2.76187642118632
"535",2.85548947263724
"536",2.7114967630236
"537",2.76598433103414
"538",2.82449947350077
"539",2.75847434722734
"540",2.746575723954
"541",2.72955810066974
"542",2.77155951123272
"543",2.7618127686959
"544",2.79096099647606
"545",2.772870806989
"546",2.78879160330791
"547",2.77477225675901
"548",2.78132426645789
"549",2.80401595983303
"550",2.76109228634903
"551",2.76155360714202
"552",2.74442249166041
"553",2.74443050550196
"554",2.84571843497975
"555",2.75828212984424
"556",2.74889668700395
"557",2.79097003994618
"558",2.80256871491746
"559",2.77710808446299
"560",2.83473646344975
"561",2.77519939397511
"562",2.7951527267692
"563",2.7541083936324
"564",2.82165443874508
"565",2.78670196799007
"566",2.79005517248055
"567",2.76908086558295
"568",2.81814430724314
"569",2.73647056705988
"570",2.827360153004
"571",2.77497681762198
"572",2.84116402749987
"573",2.77467773502409
"574",2.79842547956875
"575",2.77364478945773
"576",2.7498877040883
"577",2.82574192566744
"578",2.76590680197218
"579",2.81478528891449
"580",2.76334356516074
"581",2.79162197363515
"582",2.79540354055016
"583",2.75475078269446
"584",2.7739341779922
"585",2.77956033927429
"586",2.75620642250668
"587",2.80825696991668
"588",2.80931809202672
"589",2.7956137130146
"590",2.75549443537603
"591",2.80378031196396
"592",2.78469794853725
"593",2.75803221220373
"594",2.77735227658433
"595",2.80168319386746
"596",2.75815190646589
"597",2.80977981094863
"598",2.76585986497623
"599",2.77571550973717
"600",2.79682115172929
"601",2.7972405300191
"602",2.78856722269179
"603",2.79322760604282
"604",2.77771747565642
"605",2.78308607510662
"606",2.78985779990882
"607",2.83027789707961
"608",2.75702727307708
"609",2.77860330546439
"610",2.76420420304678
"611",2.76435202804692
"612",2.80263905795598
"613",2.80463240721554
"614",2.76685253430749
"615",2.76373626407831
"616",2.79273486932968
"617",2.79674812691837
"618",2.73608370556016
"619",2.72249300992057
"620",2.82707489463827
"621",2.75550798007591
"622",2.70140297492987
"623",2.78776319950616
"624",2.79359404094608
"625",2.80233094321034
"626",2.82034098163979
"627",2.78485130238133
"628",2.82040752376651
"629",2.74128639409624
"630",2.83164507467495
"631",2.78361854667081
"632",2.81521164038292
"633",2.77781588762617
"634",2.75007117116553
"635",2.83086989972433
"636",2.77655381281123
"637",2.75330072523757
"638",2.79885936829428
"639",2.76245902653925
"640",2.78477497849339
"641",2.7931627594068
"642",2.76539593685143
"643",2.82164578343142
"644",2.80323409613451
"645",2.83296145194724
"646",2.75871083728191
"647",2.7964396154254
"648",2.79122102081503
"649",2.80574985005004
"650",2.7934964958603
"651",2.81304859011883
"652",2.76884711175695
"653",2.77759396075916
"654",2.76845579146181
"655",2.84967718036385
"656",2.78001773884231
"657",2.80605022905508
"658",2.73112802807491
"659",2.89040366590344
"660",2.733757319182
"661",2.81748140248466
"662",2.74539447214985
"663",2.78975231747017
"664",2.75555614677972
"665",2.81076466397383
"666",2.7804518572118
"667",2.7714800869842
"668",2.76869083818965
"669",2.81126221370319
"670",2.75960098843048
"671",2.77291038518179
"672",2.75447040085578
"673",2.76487664985553
"674",2.79676301310221
"675",2.77000224924311
"676",2.78736380452963
"677",2.78399604843222
"678",2.80574008438011
"679",2.77645642081032
"680",2.82395376470044
"681",2.79259593378392
"682",2.73805322181965
"683",2.81069221383386
"684",2.79459537896654
"685",2.76061598874324
"686",2.7644374073403
"687",2.76626288279394
"688",2.76255546451506
"689",2.78667493197874
"690",2.75395608749282
"691",2.81840700429385
